key,name,nominal,up,down
pdf,PDF_Weight,pdfWeight,pdfWeight_Up,pdfWeight_Down
pileup,PU_Weight,puWeight,puWeight_Up,puWeight_Down
isr,ISR_Weight,ISRWeight,ISRWeight_Up,ISRWeight_Down
prefire,Prefire_Weight,PrefireWeight,PrefireWeight_Up,PrefireWeight_Down
btag,b,BTagWeight,BTagWeight_Up,BTagWeight_Down
dielec_sf,dielec_sf,DiElecSF,DiElecSF_Up,DiElecSF_Down
dimu_sf,dimu_sf,DiMuSF,DiMuSF_Up,DiMuSF_Down
photon_sf,photon_sf,photonSF,photonSF_Up,photonSF_Down
dielec_trig,dielec_trig,DiElecTriggerEffPt,DiElecTriggerEffPt_Up,DiElecTriggerEffPt_Down
dimu_trig,dimu_trig,DiMuTriggerEffPt,DiMuTriggerEffPt_Up,DiMuTriggerEffPt_Down
photon_trig,photon_trig,Stop0l_trigger_eff_Photon_pt,Stop0l_trigger_eff_Photon_pt_up,Stop0l_trigger_eff_Photon_pt_down
met_trig,trigger_err,Stop0l_trigger_eff_MET_loose_baseline,Stop0l_trigger_eff_MET_loose_baseline_up,Stop0l_trigger_eff_MET_loose_baseline_down
eff_restoptag,eff_restoptag,ResolvedTopTotalSF_jetpt30,ResolvedTopTotalSF_Up_jetpt30,ResolvedTopTotalSF_Down_jetpt30
eff_restoptag_lepton,eff_restoptag,ResolvedTopTotalSF_drLeptonCleaned_jetpt30,ResolvedTopTotalSF_Up_drLeptonCleaned_jetpt30,ResolvedTopTotalSF_Down_drLeptonCleaned_jetpt30
eff_restoptag_photon,eff_restoptag,ResolvedTopTotalSF_drPhotonCleaned_jetpt30,ResolvedTopTotalSF_Up_drPhotonCleaned_jetpt30,ResolvedTopTotalSF_Down_drPhotonCleaned_jetpt30
eff_toptag,eff_toptag,MergedTopTotalSF_jetpt30,MergedTopTotalSF_Up_jetpt30,MergedTopTotalSF_Down_jetpt30
eff_toptag_lepton,eff_toptag,MergedTopTotalSF_drLeptonCleaned_jetpt30,MergedTopTotalSF_Up_drLeptonCleaned_jetpt30,MergedTopTotalSF_Down_drLeptonCleaned_jetpt30
eff_toptag_photon,eff_toptag,MergedTopTotalSF_drPhotonCleaned_jetpt30,MergedTopTotalSF_Up_drPhotonCleaned_jetpt30,MergedTopTotalSF_Down_drPhotonCleaned_jetpt30
eff_wtag,eff_wtag,WTotalSF_jetpt30,WTotalSF_Up_jetpt30,WTotalSF_Down_jetpt30
eff_wtag_lepton,eff_wtag,WTotalSF_drLeptonCleaned_jetpt30,WTotalSF_Up_drLeptonCleaned_jetpt30,WTotalSF_Down_drLeptonCleaned_jetpt30
eff_wtag_photon,eff_wtag,WTotalSF_drPhotonCleaned_jetpt30,WTotalSF_Up_drPhotonCleaned_jetpt30,WTotalSF_Down_drPhotonCleaned_jetpt30
eff_sb,ivfunc,SoftBottomTotalSF_jetpt30,SoftBottomTotalSF_Up_jetpt30,SoftBottomTotalSF_Down_jetpt30
eff_sb_lepton,ivfunc,SoftBottomTotalSF_drLeptonCleaned_jetpt30,SoftBottomTotalSF_Up_drLeptonCleaned_jetpt30,SoftBottomTotalSF_Down_drLeptonCleaned_jetpt30
eff_sb_photon,ivfunc,SoftBottomTotalSF_drPhotonCleaned_jetpt30,SoftBottomTotalSF_Up_drPhotonCleaned_jetpt30,SoftBottomTotalSF_Down_drPhotonCleaned_jetpt30
jes,JES,NONE,NONE,NONE
